minutes;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66
49;364560;366798;367368;368772;370176;371574;372972;374370;375774;377178;378582;379992;381402;382824;384246;385680;387114;388560;390018;391482;392958;394440;395940;397452;398976;400518;402078;403650;405246;406860;408492;410148;411822;413526;415254;417006;418794;420606;422448;424326;426240;428190;430182;432216;434286;436404;438576;440790;443064;445386;447774;450222;452730;455310;457962;460692;463500;466392;469374;472452;475626;478902;482286;485790;489414;493164;497046
50;365388;367626;368202;369600;370998;372396;373794;375192;376596;377994;379398;380808;382218;383634;385056;386484;387924;389364;390816;392280;393750;395238;396732;398244;399762;401304;402858;404430;406020;407628;409254;410910;412584;414282;416004;417756;419532;421338;423180;425052;426960;428910;430890;432918;434982;437094;439260;441468;443730;446052;448428;450864;453366;455940;458580;461298;464100;466980;469950;473016;476172;479442;482814;486300;489912;493644;497514
51;366222;368460;369030;370428;371826;373224;374622;376020;377418;378816;380220;381624;383034;384450;385866;387294;388728;390168;391620;393078;394548;396030;397524;399030;400548;402084;403638;405204;406794;408396;410022;411672;413340;415032;416754;418500;420270;422076;423912;425778;427680;429624;431598;433620;435678;437784;439938;442146;444402;446712;449082;451512;454002;456564;459198;461910;464694;467568;470526;473580;476724;479976;483336;486810;490404;494130;497982
52;367056;369294;369858;371262;372654;374052;375444;376842;378240;379638;381036;382440;383850;385260;386682;388104;389538;390972;392424;393882;395346;396828;398316;399822;401334;402870;404418;405984;407562;409164;410790;412434;414096;415788;417504;419244;421014;422814;424644;426504;428400;430338;432306;434322;436374;438474;440622;442818;445068;447372;449730;452154;454638;457194;459816;462516;465294;468150;471102;474138;477276;480516;483864;487326;490902;494610;498450
53;367890;370122;370692;372090;373482;374880;376272;377664;379062;380460;381858;383256;384666;386076;387492;388914;390342;391782;393222;394680;396144;397620;399108;400608;402120;403650;405198;406758;408336;409938;411552;413190;414852;416538;418248;419988;421752;423546;425370;427230;429120;431052;433020;435024;437070;439164;441306;443496;445734;448032;450384;452796;455274;457818;460434;463122;465888;468738;471678;474702;477828;481056;484386;487836;491400;495090;498912
54;368718;370956;371520;372918;374310;375702;377100;378492;379884;381276;382674;384078;385482;386886;388302;389724;391152;392586;394026;395478;396942;398412;399900;401394;402906;404436;405978;407532;409110;410706;412320;413952;415614;417294;418998;420732;422490;424284;426102;427956;429840;431766;433728;435726;437766;439854;441990;444168;446406;448692;451038;453444;455910;458442;461052;463728;466488;469326;472248;475266;478380;481596;484914;488346;491898;495576;499380
55;369552;371790;372354;373746;375138;376530;377922;379314;380706;382098;383496;384894;386292;387702;389112;390534;391956;393390;394830;396276;397740;399210;400692;402186;403692;405216;406752;408312;409884;411474;413082;414714;416370;418044;419748;421476;423234;425016;426834;428682;430560;432480;434430;436428;438462;440544;442668;444846;447072;449352;451686;454086;456546;459072;461664;464334;467082;469914;472824;475830;478932;482130;485442;488856;492396;496056;499848
56;370386;372618;373182;374580;375966;377358;378750;380136;381528;382920;384312;385710;387108;388512;389922;391338;392760;394194;395628;397080;398532;400002;401484;402972;404478;405996;407532;409086;410652;412242;413850;415476;417126;418800;420498;422220;423972;425748;427560;429402;431280;433188;435138;437130;439158;441234;443352;445518;447738;450012;452340;454728;457182;459696;462282;464940;467682;470496;473400;476394;479484;482670;485964;489372;492894;496536;500316
57;371220;373452;374016;375408;376800;378186;379572;380964;382350;383742;385134;386526;387924;389328;390738;392148;393570;394998;396432;397878;399330;400794;402270;403764;405264;406782;408312;409860;411426;413010;414612;416238;417882;419550;421242;422964;424710;426486;428292;430128;432000;433902;435846;437832;439854;441918;444036;446196;448404;450672;452994;455370;457812;460320;462900;465546;468276;471084;473976;476958;480030;483210;486492;489882;493392;497022;500778
58;372054;374286;374844;376236;377628;379014;380400;381786;383172;384564;385950;387342;388740;390144;391548;392958;394374;395802;397236;398676;400128;401592;403062;404550;406050;407562;409092;410634;412200;413778;415374;416994;418638;420306;421992;423708;425448;427218;429018;430848;432714;434616;436554;438528;440550;442608;444714;446868;449070;451332;453642;456012;458448;460950;463518;466158;468870;471666;474546;477522;480582;483750;487014;490392;493884;497502;501246
59;372888;375120;375678;377070;378456;379842;381228;382608;383994;385380;386772;388164;389556;390954;392358;393768;395184;396606;398034;399474;400926;402384;403854;405336;406836;408342;409872;411408;412968;414546;416142;417756;419394;421056;422742;424452;426186;427950;429750;431574;433434;435330;437262;439230;441240;443298;445398;447540;449736;451986;454296;456660;459084;461574;464130;466758;469470;472254;475122;478080;481134;484284;487542;490902;494382;497988;501714
60;373722;375954;376512;377898;379284;380670;382050;383436;384822;386202;387588;388980;390372;391770;393168;394578;395988;397410;398838;400272;401718;403176;404646;406128;407616;409128;410646;412188;413742;415314;416904;418518;420150;421806;423486;425190;426924;428688;430476;432294;434154;436038;437964;439932;441936;443982;446076;448218;450402;452646;454944;457302;459714;462198;464748;467364;470064;472836;475698;478644;481686;484824;488064;491418;494880;498468;502182
61;374556;376788;377340;378732;380112;381498;382878;384258;385644;387024;388410;389796;391188;392580;393978;395388;396798;398214;399642;401076;402516;403974;405438;406914;408402;409908;411426;412962;414510;416082;417666;419274;420906;422556;424236;425934;427662;429420;431202;433020;434868;436752;438672;440628;442632;444672;446754;448890;451068;453306;455592;457944;460350;462822;465360;467970;470658;473424;476274;479208;482238;485364;488592;491928;495378;498954;502650
62;375390;377622;378174;379560;380946;382326;383706;385086;386466;387846;389232;390612;392004;393396;394794;396192;397602;399018;400440;401874;403314;404766;406230;407700;409188;410688;412206;413736;415284;416850;418434;420036;421662;423312;424980;426678;428400;430152;431934;433740;435588;437466;439380;441330;443322;445356;447438;449562;451734;453966;456246;458586;460980;463446;465978;468576;471252;474006;476844;479772;482784;485898;489114;492438;495876;499434;503118
